Timestamp,Gender,Course, Study Year,CGPA  , Study Days per Week, Study Hours per Day, Study Hours Before Exam, Study Method, Study Schedule, Follow Schedule Frequency, Procrastination Level, Deadline Management, Social Media During Study, Part-Time Job, Work Hours per Week, Study Place, Family Support, Sleep Hours, Stress Level (Beginning of Semester), Stress Level (End of Semester)
3/23/2026 0:38:11,Male,Bachelor of Education,Year 2,3.00 – 3.99,6,5 – 6 hours,3 – 4 hours,Summarizing/making notes,Yes,Always,2,Good,Sometimes,No,,"Library, Room, Campus Study Area",Very Supportive,6 – 7 hours,2,4
3/23/2026 0:38:59,Female,Diploma in Computer Science,Year 3,3.00 – 3.99,5,3 – 4 hours,More than 6 hours,Doing practice questions,No,,3,Average,Always,No,,"Library, Room",Very Supportive,4 – 5 hours,2,4
3/23/2026 12:22:45,Female,Diploma in Science ,Year 2,3.00 – 3.99,7,5 – 6 hours,More than 6 hours,Doing practice questions,Yes,Always,2,Good,Sometimes,No,,Room,Very Supportive,4 – 5 hours,3,4
3/23/2026 13:34:35,Female,Bachelor of Information Technology,Year 2,3.00 – 3.99,6,5 – 6 hours,3 – 4 hours,Summarizing/making notes,Yes,Sometimes,3,Average,Always,No,,Room,Very Supportive,4 – 5 hours,2,4
3/23/2026 15:09:20,Female,Bachelor of Civil Engineering,Year 2,3.00 – 3.99,3,3 – 4 hours,5 – 6 hours,Doing practice questions,No,,3,Good,Sometimes,No,,"Room, Campus Study Area",Neutral,Less than 4 hours,3,4
3/26/2026 20:42:20,Male,Bachelor of Computer Science,Year 1,3.00 – 3.99,1,1 – 2 hours,3 – 4 hours,Summarizing/making notes,No,,5,Average,Always,No,,Room,Neutral,6 – 7 hours,1,4
3/26/2026 20:42:27,Male,Bachelor of Computer Science,Year 1,3.00 – 3.99,3,1 – 2 hours,More than 6 hours,Reading lecture notes,No,,4,Poor,Always,No,,"Room, Campus Study Area",Neutral,4 – 5 hours,3,4
3/26/2026 20:45:23,Female,Bachelor of Business ,Year 2,3.00 – 3.99,3,3 – 4 hours,More than 6 hours,Summarizing/making notes,No,,2,Good,Sometimes,No,,"Library, Room, Cafe",Neutral,8 – 9 hours,1,4
3/26/2026 20:46:58,Female,Bachelor of Accounting,Year 1,3.00 – 3.99,4,1 – 2 hours,3 – 4 hours,Summarizing/making notes,No,,4,Average,Always,No,,"Library, Room",Very Supportive,4 – 5 hours,2,5
3/26/2026 20:47:37,Female,Bachelor of Business ,Year 2,3.00 – 3.99,3,3 – 4 hours,More than 6 hours,Doing practice questions,Yes,Sometimes,5,Average,Always,No,,"Library, Room",Very Supportive,4 – 5 hours,1,5
3/26/2026 20:48:27,Female,Bachelor of Accounting ,Year 2,3.00 – 3.99,3,5 – 6 hours,More than 6 hours,Doing practice questions,No,,4,Average,Sometimes,No,,"Room, Cafe",Very Supportive,4 – 5 hours,2,5
3/26/2026 20:49:43,Female,Bachelor of Accounting ,Year 3,3.00 – 3.99,5,3 – 4 hours,More than 6 hours,Doing practice questions,Yes,Sometimes,4,Good,Always,No,,"Library, Room",Very Supportive,4 – 5 hours,3,4
3/26/2026 20:53:53,Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),Year 2,3.00 – 3.99,5,5 – 6 hours,More than 6 hours,Reading lecture notes,Yes,Sometimes,3,Average,Sometimes,No,,"Room, Cafe",Very Supportive,Less than 4 hours,3,5
3/26/2026 20:57:20,Female,Bachelor of Computer Science Informatics Maritime ,Year 1,3.00 – 3.99,5,3 – 4 hours,More than 6 hours,Doing practice questions,Yes,Sometimes,2,Good,Sometimes,No,,"Library, Room",Neutral,4 – 5 hours,2,4
3/26/2026 20:58:30,Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),Year 2,3.00 – 3.99,6,1 – 2 hours,More than 6 hours,Reading lecture notes,No,,4,Good,Sometimes,No,,House,Very Supportive,4 – 5 hours,2,5
3/26/2026 20:59:05,Female,Bachelor of Islamic Education,Year 2,3.00 – 3.99,5,3 – 4 hours,3 – 4 hours,Summarizing/making notes,Yes,Sometimes,3,Average,Sometimes,No,,Campus Study Area,Neutral,6 – 7 hours,5,5
3/26/2026 20:59:09,Female,Bachelor of Chemical Engineering ,Year 2,3.00 – 3.99,6,5 – 6 hours,More than 6 hours,Doing practice questions,No,,5,Poor,Always,No,,Room,Neutral,4 – 5 hours,1,5
3/26/2026 21:00:31,Female,Bachelor of Accounting ,Year 2,3.00 – 3.99,4,1 – 2 hours,5 – 6 hours,Summarizing/making notes,No,,4,Average,Always,No,,Room,Neutral,4 – 5 hours,2,5
3/26/2026 21:02:48,Female,Bachelor of Chemical Engineering ,Year 2,3.00 – 3.99,1,1 – 2 hours,3 – 4 hours,Doing practice questions,No,,5,Average,Sometimes,No,,Room,Very Supportive,6 – 7 hours,3,5
