Gender,Course,Study Year,CGPA,Study Days per Week,Study Hours per Day,Study Hours Before Exam,Study Method,Study Schedule,Follow Schedule Frequency,Procrastination Level,Deadline Management,Social Media During Study,Part-Time Job,Work Hours per Week,Study Place,Family Support,Sleep Hours,Stress Level (Beginning of Semester),Stress Level (End of Semester)
Male,Bachelor of Education,2,3.5,6,5.5,3.5,Summarizing/making notes,Yes,Always,2,Good,Sometimes,No,0.0,"Library, Room, Campus Study Area",Very Supportive,6.5,2,4
Female,Diploma in Computer Science,3,3.5,5,3.5,7.0,Doing practice questions,No,,3,Average,Always,No,0.0,"Library, Room",Very Supportive,4.5,2,4
Female,Diploma in Science ,2,3.5,7,5.5,7.0,Doing practice questions,Yes,Always,2,Good,Sometimes,No,0.0,Room,Very Supportive,4.5,3,4
Female,Bachelor of Information Technology,2,3.5,6,5.5,3.5,Summarizing/making notes,Yes,Sometimes,3,Average,Always,No,0.0,Room,Very Supportive,4.5,2,4
Female,Bachelor of Civil Engineering,2,3.5,3,3.5,5.5,Doing practice questions,No,,3,Good,Sometimes,No,0.0,"Room, Campus Study Area",Neutral,3.0,3,4
Male,Bachelor of Computer Science,1,3.5,1,1.5,3.5,Summarizing/making notes,No,,5,Average,Always,No,0.0,Room,Neutral,6.5,1,4
Male,Bachelor of Computer Science,1,3.5,3,1.5,7.0,Reading lecture notes,No,,4,Poor,Always,No,0.0,"Room, Campus Study Area",Neutral,4.5,3,4
Female,Bachelor of Business ,2,3.5,3,3.5,7.0,Summarizing/making notes,No,,2,Good,Sometimes,No,0.0,"Library, Room, Cafe",Neutral,8.5,1,4
Female,Bachelor of Accounting,1,3.5,4,1.5,3.5,Summarizing/making notes,No,,4,Average,Always,No,0.0,"Library, Room",Very Supportive,4.5,2,5
Female,Bachelor of Business ,2,3.5,3,3.5,7.0,Doing practice questions,Yes,Sometimes,5,Average,Always,No,0.0,"Library, Room",Very Supportive,4.5,1,5
Female,Bachelor of Accounting ,2,3.5,3,5.5,7.0,Doing practice questions,No,,4,Average,Sometimes,No,0.0,"Room, Cafe",Very Supportive,4.5,2,5
Female,Bachelor of Accounting ,3,3.5,5,3.5,7.0,Doing practice questions,Yes,Sometimes,4,Good,Always,No,0.0,"Library, Room",Very Supportive,4.5,3,4
Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),2,3.5,5,5.5,7.0,Reading lecture notes,Yes,Sometimes,3,Average,Sometimes,No,0.0,"Room, Cafe",Very Supportive,3.0,3,5
Female,Bachelor of Computer Science Informatics Maritime ,1,3.5,5,3.5,7.0,Doing practice questions,Yes,Sometimes,2,Good,Sometimes,No,0.0,"Library, Room",Neutral,4.5,2,4
Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),2,3.5,6,1.5,7.0,Reading lecture notes,No,,4,Good,Sometimes,No,0.0,House,Very Supportive,4.5,2,5
Female,Bachelor of Islamic Education,2,3.5,5,3.5,3.5,Summarizing/making notes,Yes,Sometimes,3,Average,Sometimes,No,0.0,Campus Study Area,Neutral,6.5,5,5
Female,Bachelor of Chemical Engineering ,2,3.5,6,5.5,7.0,Doing practice questions,No,,5,Poor,Always,No,0.0,Room,Neutral,4.5,1,5
Female,Bachelor of Accounting ,2,3.5,4,1.5,5.5,Summarizing/making notes,No,,4,Average,Always,No,0.0,Room,Neutral,4.5,2,5
Female,Bachelor of Chemical Engineering ,2,3.5,1,1.5,3.5,Doing practice questions,No,,5,Average,Sometimes,No,0.0,Room,Very Supportive,6.5,3,5
Female,Bachelor of Medicine,2,3.5,7,3.5,7.0,Reading lecture notes,Yes,Sometimes,3,Average,Sometimes,No,0.0,"Library, Room, Cafe",Very Supportive,4.5,2,4
Female,Bachelor of Islamic Banking and Finance,2,3.5,3,3.5,3.5,Doing practice questions,No,,4,Average,Always,No,0.0,"Library, Room, Campus Study Area",Neutral,4.5,4,3
Female,Bachelor of Pharmacy,2,3.5,3,1.5,3.5,Summarizing/making notes,No,,5,Good,Always,No,0.0,Room,Very Supportive,4.5,2,4
Female,Bachelor of Accounting ,1,3.5,6,3.5,5.5,Doing practice questions,Yes,Sometimes,5,Average,Sometimes,No,0.0,"Library, Room",Very Supportive,6.5,2,5
